Name,Position,Current Price,Pred_Price,Diff
De Bruyne,3,115,266.0,151.0
Alexander-Arnold,2,75,211.0,136.0
Robertson,2,70,188.0,118.0
Ings,4,85,193.0,108.0
Jiménez,4,85,191.0,106.0
Willian,3,80,185.0,105.0
Azpilicueta,2,60,158.0,98.0
Grealish,3,70,166.0,96.0
Vardy,4,100,196.0,96.0
Moutinho,3,55,148.0,93.0
van Dijk,2,65,158.0,93.0
Ward-Prowse,3,60,152.0,92.0
Digne,2,60,152.0,92.0
Mahrez,3,85,176.0,91.0
Salah,3,120,209.0,89.0
Ryan,1,45,134.0,89.0
Dunk,2,50,138.0,88.0
Tarkowski,2,55,141.0,86.0
Maddison,3,70,153.0,83.0
Pope,1,55,137.0,82.0
Evans,2,55,136.0,81.0
Maguire,2,55,136.0,81.0
Dubravka,1,50,130.0,80.0
Aubameyang,3,120,200.0,80.0
Rashford,3,95,175.0,80.0
Firmino,4,95,175.0,80.0
Sterling,3,115,194.0,79.0
Stevens,2,55,134.0,79.0
Wan-Bissaka,2,55,133.0,78.0
Rice,3,50,127.0,77.0
Ramsdale,1,50,124.0,74.0
Aurier,2,55,129.0,74.0
Söyüncü,2,55,128.0,73.0
Norwood,3,50,123.0,73.0
McNeil,3,60,132.0,72.0
Mount,3,70,142.0,72.0
Schmeichel,1,55,125.0,70.0
Basham,2,50,120.0,70.0
Doherty,2,60,130.0,70.0
Westwood,3,55,125.0,70.0
Egan,2,50,119.0,69.0
Traoré,3,65,134.0,69.0
Baldock,2,55,122.0,67.0
Bernardo Silva,3,75,142.0,67.0
Mané,3,120,185.0,65.0
Tielemans,3,65,129.0,64.0
Guaita,1,50,114.0,64.0
Richarlison,4,80,144.0,64.0
Jesus,4,95,158.0,63.0
Martial,4,90,153.0,63.0
Pereira,2,60,122.0,62.0
Henderson,1,55,117.0,62.0
Jorginho,3,50,112.0,62.0
Patrício,1,55,116.0,61.0
Lundstram,3,55,116.0,61.0
Lindelöf,2,50,111.0,61.0
Noble,3,50,110.0,60.0
Mee,2,50,110.0,60.0
Son,3,90,150.0,60.0
Pickford,1,50,110.0,60.0
Alderweireld,2,55,115.0,60.0
Coady,2,50,110.0,60.0
O'Connell,2,50,109.0,59.0
Henderson,3,55,114.0,59.0
Leno,1,50,108.0,58.0
Webster,2,45,103.0,58.0
Ayew,4,60,118.0,58.0
Rodrigo,3,55,112.0,57.0
van Aanholt,2,55,112.0,57.0
Jonny,2,55,111.0,56.0
Bednarek,2,45,101.0,56.0
Saïss,2,50,106.0,56.0
Abraham,4,75,131.0,56.0
Maupay,4,65,120.0,55.0
Wijnaldum,3,55,108.0,53.0
Chilwell,2,55,108.0,53.0
Neves,3,55,108.0,53.0
Mings,2,50,103.0,53.0
Burn,2,45,97.0,52.0
de Gea,1,55,106.0,51.0
Shelvey,3,55,106.0,51.0
Fleck,3,60,111.0,51.0
Fernández,2,50,101.0,51.0
Walker,2,60,110.0,50.0
Ederson,1,60,109.0,49.0
Pröpper,3,50,98.0,48.0
Aké,2,55,102.0,47.0
McArthur,3,55,102.0,47.0
Keane,2,50,97.0,47.0
Targett,2,45,92.0,47.0
Kane,4,105,151.0,46.0
Wood,4,65,111.0,46.0
Højbjerg,3,50,96.0,46.0
Kovacic,3,55,100.0,45.0
Cresswell,2,50,95.0,45.0
Calvert-Lewin,4,70,114.0,44.0
Ndidi,3,50,94.0,44.0
Redmond,3,65,109.0,44.0
Bertrand,2,50,94.0,44.0
Douglas Luiz,3,50,93.0,43.0
Pérez,3,65,108.0,43.0
David Luiz,2,55,98.0,43.0
Jota,3,65,107.0,42.0
Fredericks,2,45,86.0,41.0
McCarthy,1,45,86.0,41.0
Barnes,3,70,111.0,41.0
Diop,2,45,85.0,40.0
Gündogan,3,55,94.0,39.0
Dendoncker,3,50,89.0,39.0
Stephens,3,45,82.0,37.0
Mooy,3,50,86.0,36.0
Ogbonna,2,50,86.0,36.0
Arrizabalaga,1,50,85.0,35.0
Sigurdsson,3,70,105.0,35.0
Zaha,3,70,104.0,34.0
Mina,2,55,89.0,34.0
Cahill,2,45,79.0,34.0
Antonio,4,65,99.0,34.0
Haller,4,65,99.0,34.0
Trossard,3,60,94.0,34.0
Stephens,2,50,83.0,33.0
Almirón,3,60,93.0,33.0
Alisson,1,60,93.0,33.0
Groß,3,60,92.0,32.0
Boly,2,55,87.0,32.0
McGinn,3,55,87.0,32.0
Alonso,2,60,92.0,32.0
Fred,3,55,86.0,31.0
Saint-Maximin,3,55,86.0,31.0
Zouma,2,50,81.0,31.0
James,2,50,80.0,30.0
Agüero,4,105,135.0,30.0
Xhaka,3,55,85.0,30.0
Holgate,2,50,79.0,29.0
Sissoko,3,50,79.0,29.0
Otamendi,2,50,79.0,29.0
Shaw,2,50,79.0,29.0
Sánchez,2,55,82.0,27.0
Fabinho,3,55,82.0,27.0
Taylor,2,45,72.0,27.0
Pulisic,3,85,112.0,27.0
Ward,2,45,72.0,27.0
Milivojevic,3,60,87.0,27.0
Fernandinho,2,55,81.0,26.0
Pieters,2,45,71.0,26.0
Gomez,2,55,80.0,25.0
Trézéguet,3,55,80.0,25.0
Lucas Moura,3,70,95.0,25.0
Hourihane,3,60,84.0,24.0
Bardsley,2,45,69.0,24.0
Guilbert,2,45,69.0,24.0
Harry Wilson,3,55,79.0,24.0
McBurnie,4,60,84.0,24.0
McTominay,3,50,73.0,23.0
Konsa,2,45,68.0,23.0
Montoya,2,45,68.0,23.0
Kanté,3,50,73.0,23.0
El Ghazi,3,60,82.0,22.0
Greenwood,3,75,97.0,22.0
Lacazette,4,85,107.0,22.0
Fabianski,1,50,72.0,22.0
Snodgrass,3,60,82.0,22.0
Lascelles,2,45,66.0,21.0
Ritchie,3,50,71.0,21.0
Rodriguez,4,60,81.0,21.0
Winks,3,55,75.0,20.0
Lloris,1,55,75.0,20.0
Armstrong,3,55,75.0,20.0
James,3,65,85.0,20.0
Pépé,3,80,99.0,19.0
Rüdiger,2,50,69.0,19.0
Oriol Romeu,3,45,63.0,18.0
Heaton,1,45,62.0,17.0
Hayden,3,50,66.0,16.0
Fornals,3,65,81.0,16.0
Mendy,2,60,76.0,16.0
Cork,3,50,65.0,15.0
Kouyaté,3,50,65.0,15.0
Vestergaard,2,45,58.0,13.0
Joelinton,4,60,73.0,13.0
Coleman,2,50,63.0,13.0
Alli,3,80,93.0,13.0
Kolasinac,2,50,62.0,12.0
Matic,3,50,61.0,11.0
Christensen,2,50,61.0,11.0
Schär,2,50,61.0,11.0
Felipe Anderson,3,65,76.0,11.0
Cédric,2,50,60.0,10.0
Guendouzi,3,50,60.0,10.0
Sokratis,2,50,60.0,10.0
Gazzaniga,1,45,54.0,9.0
McGoldrick,4,55,63.0,8.0
Saka,3,55,63.0,8.0
Kelly,2,45,53.0,8.0
Nakamba,3,45,53.0,8.0
Zinchenko,2,55,63.0,8.0
Cancelo,2,55,63.0,8.0
Pereira,3,50,58.0,8.0
Tomkins,2,45,52.0,7.0
Lowton,2,45,52.0,7.0
Torreira,3,50,56.0,6.0
Manquillo,2,45,51.0,6.0
Mousset,4,60,66.0,6.0
Rose,2,50,56.0,6.0
El Mohamady,2,45,50.0,5.0
Dann,2,45,50.0,5.0
Adams,4,60,64.0,4.0
Foden,3,65,69.0,4.0
Iheanacho,4,60,63.0,3.0
Engels,2,45,48.0,3.0
Chamberlain,3,65,67.0,2.0
McCarthy,3,45,47.0,2.0
Tomori,2,50,52.0,2.0
Giroud,4,70,71.0,1.0
Williams,2,45,46.0,1.0
Hause,2,45,46.0,1.0
Maitland-Niles,2,50,50.0,-0.0
Bernard,3,60,60.0,0.0
Iwobi,3,60,60.0,0.0
Alzate,3,45,44.0,-1.0
Yarmolenko,3,60,59.0,-1.0
Chambers,2,45,44.0,-1.0
Duffy,2,45,44.0,-1.0
Clark,2,45,44.0,-1.0
Keita,3,55,53.0,-2.0
Dummett,2,45,43.0,-2.0
Mustafi,2,50,48.0,-2.0
Hendrick,3,50,48.0,-2.0
Bissouma,3,45,43.0,-2.0
Barkley,3,60,58.0,-2.0
Benteke,4,55,52.0,-3.0
Davies,3,55,52.0,-3.0
Justin,2,45,42.0,-3.0
Lanzini,3,65,62.0,-3.0
Balbuena,2,45,42.0,-3.0
Long,4,55,52.0,-3.0
Davies,2,50,46.0,-4.0
Origi,4,55,51.0,-4.0
Lamela,3,60,56.0,-4.0
Özil,3,70,66.0,-4.0
Emerson,2,50,46.0,-4.0
Walcott,3,60,56.0,-4.0
Wesley,4,60,56.0,-4.0
Hudson-Odoi,3,60,55.0,-5.0
Laporte,2,60,55.0,-5.0
Neto,3,55,49.0,-6.0
Sean Longstaff,3,50,44.0,-6.0
Lo Celso,3,70,63.0,-7.0
Stones,2,50,43.0,-7.0
Walker-Peters,2,45,37.0,-8.0
Obafemi,4,50,42.0,-8.0
Soucek,3,50,41.0,-9.0
Praet,3,55,46.0,-9.0
Ndombele,3,60,50.0,-10.0
Masuaku,2,45,35.0,-10.0
Delph,3,50,40.0,-10.0
Townsend,3,60,50.0,-10.0
Gray,3,55,45.0,-10.0
Connolly,4,55,44.0,-11.0
March,3,50,39.0,-11.0
Bellerín,2,50,39.0,-11.0
Albrighton,3,55,44.0,-11.0
Fernandes,3,105,94.0,-11.0
Krafth,2,45,34.0,-11.0
Milner,3,55,44.0,-11.0
Willock,3,50,38.0,-12.0
Gayle,4,60,48.0,-12.0
Tierney,2,55,42.0,-13.0
Bennett,2,45,31.0,-14.0
Bernardo,2,40,26.0,-14.0
Dier,2,50,36.0,-14.0
Barnes,4,60,46.0,-14.0
Sharp,4,60,45.0,-15.0
Djenepo,3,55,40.0,-15.0
Taylor,2,45,30.0,-15.0
Martínez,1,45,30.0,-15.0
Bowen,3,65,49.0,-16.0
Schlupp,3,55,39.0,-16.0
Gunn,1,45,28.0,-17.0
Choudhury,3,50,33.0,-17.0
Vydra,4,50,33.0,-17.0
Garcia,2,50,33.0,-17.0
Kean,4,60,42.0,-18.0
André Gomes,3,55,37.0,-18.0
Martinelli,3,50,32.0,-18.0
Vinagre,2,45,27.0,-18.0
Fuchs,2,45,26.0,-19.0
Yedlin,2,45,26.0,-19.0
Lamptey,2,45,26.0,-19.0
Sakho,2,45,26.0,-19.0
Berge,3,50,31.0,-19.0
Roberto,1,45,24.0,-21.0
Pogba,3,80,58.0,-22.0
Riedewald,3,45,23.0,-22.0
Matip,2,55,32.0,-23.0
Boufal,3,55,32.0,-23.0
Brady,3,50,27.0,-23.0
Mata,3,60,36.0,-24.0
Adrián,1,45,21.0,-24.0
Nelson,3,55,29.0,-26.0
Nyland,1,40,14.0,-26.0
Carroll,4,55,29.0,-26.0
Lejeune,2,45,19.0,-26.0
Murray,4,50,24.0,-26.0
Martin,1,40,14.0,-26.0
Lingard,3,60,33.0,-27.0
Smallbone,3,45,18.0,-27.0
Holding,2,45,18.0,-27.0
Brownhill,3,50,23.0,-27.0
Williams,2,40,13.0,-27.0
Gudmundsson,3,55,28.0,-27.0
Morgan,2,45,17.0,-28.0
Matty Longstaff,3,50,22.0,-28.0
Branthwaite,2,40,12.0,-28.0
Long,2,45,17.0,-28.0
Davis,4,45,17.0,-28.0
Thomas,2,45,17.0,-28.0
Gordon,3,45,16.0,-29.0
Atsu,3,55,26.0,-29.0
Jack Robinson,2,45,16.0,-29.0
Wickham,4,45,15.0,-30.0
Osborn,3,50,20.0,-30.0
Valery,2,50,19.0,-31.0
Tanganga,2,50,19.0,-31.0
Jahanbakhsh,3,55,23.0,-32.0
Meyer,3,50,17.0,-33.0
Callum Robinson,4,55,22.0,-33.0
Jones,3,45,12.0,-33.0
Johnson,2,40,6.0,-34.0
Mitchell,2,40,6.0,-34.0
Tosun,4,60,26.0,-34.0
Podence,3,55,20.0,-35.0
Hennessey,1,45,10.0,-35.0
Bravo,1,45,10.0,-35.0
Gilmour,3,45,10.0,-35.0
Samatta,4,60,24.0,-36.0
Kilman,2,40,4.0,-36.0
Lansbury,3,45,8.0,-37.0
Vokins,2,40,2.0,-38.0
Nketiah,4,60,22.0,-38.0
Marí,2,45,6.0,-39.0
Caballero,1,50,11.0,-39.0
Bergwijn,3,75,36.0,-39.0
Freeman,3,50,11.0,-39.0
Tuanzebe,2,45,5.0,-40.0
Vassilev,4,45,5.0,-40.0
Struijk,2,40,-0.0,-40.0
Skipp,3,45,5.0,-40.0
Douglas,2,40,0.0,-40.0
Buur,2,40,0.0,-40.0
Mengi,2,40,-0.0,-40.0
Davis,2,40,-0.0,-40.0
Casey,2,40,-0.0,-40.0
Fosu-Mensah,2,45,5.0,-40.0
Amartey,2,40,-0.0,-40.0
Ferguson,2,40,-0.0,-40.0
Watts,2,40,0.0,-40.0
Batshuayi,4,60,20.0,-40.0
Gibson,2,40,0.0,-40.0
Sessegnon,2,50,9.0,-41.0
Steer,1,40,-1.0,-41.0
Fabri,1,40,-1.0,-41.0
Smith Rowe,3,45,4.0,-41.0
Randolph,1,45,4.0,-41.0
Gibbs-White,3,50,9.0,-41.0
Brewster,4,45,3.0,-42.0
Andone,4,50,8.0,-42.0
Jordao,3,45,3.0,-42.0
Lallana,3,65,23.0,-42.0
Peacock-Farrell,1,40,-2.0,-42.0
Pierrick,3,45,3.0,-42.0
Muto,4,50,8.0,-42.0
Chong,3,45,3.0,-42.0
Button,1,40,-2.0,-42.0
Harper,3,45,2.0,-43.0
Stevens,3,45,2.0,-43.0
Burke,3,45,2.0,-43.0
Miazek,1,40,-3.0,-43.0
Poveda-Ocampo,3,45,2.0,-43.0
Reed,3,45,2.0,-43.0
James,3,45,2.0,-43.0
Anguissa,3,45,2.0,-43.0
Silva,3,45,2.0,-43.0
Bailly,2,50,7.0,-43.0
Moore,1,45,2.0,-43.0
Fernandes,3,50,7.0,-43.0
Doyle,3,45,2.0,-43.0
Foyth,2,45,2.0,-43.0
Garner,3,45,2.0,-43.0
Elliott,3,45,2.0,-43.0
Leko,3,45,2.0,-43.0
Sims,3,45,1.0,-44.0
Mac Allister,3,55,11.0,-44.0
Gibbs,2,45,-0.0,-45.0
Townsend,2,45,0.0,-45.0
O'Shea,2,45,0.0,-45.0
Hegazi,2,45,-0.0,-45.0
Bartley,2,45,0.0,-45.0
Furlong,2,45,0.0,-45.0
Saliba,2,45,-0.0,-45.0
Ream,2,45,-0.0,-45.0
Alioski,2,45,0.0,-45.0
Dallas,2,45,0.0,-45.0
Ayling,2,45,0.0,-45.0
Cooper,2,45,-0.0,-45.0
Benkovic,2,45,-0.0,-45.0
Robinson,2,45,-0.0,-45.0
Sessegnon,2,45,0.0,-45.0
Mawson,2,45,-0.0,-45.0
Bree,2,45,0.0,-45.0
Hector,2,45,-0.0,-45.0
Christie,2,45,-0.0,-45.0
Le Marchand,2,45,-0.0,-45.0
Salisu,2,45,0.0,-45.0
Veltman,2,45,-0.0,-45.0
Clarke,2,45,0.0,-45.0
Kenny,2,45,0.0,-45.0
White,2,45,0.0,-45.0
Jones,2,50,4.0,-46.0
Johnstone,1,45,-1.0,-46.0
Ruddy,1,45,-1.0,-46.0
Meslier,1,45,-1.0,-46.0
Wilshere,3,50,4.0,-46.0
Gbamin,3,50,4.0,-46.0
Bettinelli,1,45,-1.0,-46.0
Hart,1,45,-1.0,-46.0
Virgínia,1,45,-1.0,-46.0
Bonatini,4,50,3.0,-47.0
Ajeti,4,55,8.0,-47.0
Sarkic,1,45,-2.0,-47.0
Campana,4,50,3.0,-47.0
Zohore,4,50,3.0,-47.0
Jota,3,60,13.0,-47.0
Casilla,1,45,-2.0,-47.0
Lössl,1,45,-2.0,-47.0
Ward,1,45,-2.0,-47.0
Foderingham,1,45,-2.0,-47.0
Gillespie,1,45,-2.0,-47.0
Rodák,1,45,-2.0,-47.0
Edwards,3,50,2.0,-48.0
Rojo,2,50,2.0,-48.0
Forshaw,3,50,2.0,-48.0
Grot,3,50,2.0,-48.0
Shackleton,3,50,2.0,-48.0
Kamara,3,50,2.0,-48.0
Seri,3,50,2.0,-48.0
Kebano,3,50,2.0,-48.0
Dalot,2,50,2.0,-48.0
Phillips,3,50,2.0,-48.0
Aarons,3,50,2.0,-48.0
Johansen,3,50,2.0,-48.0
McDonald,3,50,2.0,-48.0
Sawyers,3,50,2.0,-48.0
Field,3,50,2.0,-48.0
Roberts,3,50,2.0,-48.0
Onomah,3,50,1.0,-49.0
Livermore,3,50,1.0,-49.0
Bryan,2,50,0.0,-50.0
Loftus-Cheek,3,60,10.0,-50.0
Tsimikas,2,50,0.0,-50.0
Ajayi,2,50,0.0,-50.0
Smalling,2,50,-0.0,-50.0
Romero,1,50,-1.0,-51.0
Austin,4,55,4.0,-51.0
Robson-Kanu,4,55,4.0,-51.0
Darlow,1,50,-2.0,-52.0
Decordova-Reid,4,55,3.0,-52.0
Costa,3,55,3.0,-52.0
Shaqiri,3,65,13.0,-52.0
Bamford,4,55,3.0,-52.0
Hugill,4,55,3.0,-52.0
Cairney,3,55,2.0,-53.0
Klich,3,55,2.0,-53.0
Izquierdo,3,55,2.0,-53.0
Phillips,3,55,2.0,-53.0
Diangana,3,55,2.0,-53.0
Ighalo,4,65,12.0,-53.0
Harrison,3,55,2.0,-53.0
Cavaleiro,3,55,2.0,-53.0
Knockaert,3,55,1.0,-54.0
Grosicki,3,55,1.0,-54.0
Mitrović,4,60,3.0,-57.0
Minamino,3,65,8.0,-57.0
Pereira,3,60,2.0,-58.0
Hernández,3,60,2.0,-58.0
Torres,3,70,2.0,-68.0
Ziyech,3,80,2.0,-78.0
Werner,4,95,4.0,-91.0
