Name,Postion,Cost,Points,Predicted Points,Predicted Cost,Cost Diff,Point Diff
De Bruyne,3,115,251,268.0,126.0,11.0,17.0
Salah,3,120,233,211.0,109.0,-11.0,-22.0
Alexander-Arnold,2,75,210,211.0,109.0,34.0,1.0
Aubameyang,3,120,205,197.0,94.0,-26.0,-8.0
Ings,4,85,198,195.0,105.0,20.0,-3.0
Vardy,4,100,210,195.0,93.0,-7.0,-15.0
Jiménez,4,85,194,193.0,96.0,11.0,-1.0
Sterling,3,115,204,193.0,94.0,-21.0,-11.0
Willian,3,80,168,186.0,90.0,10.0,18.0
Mané,3,120,221,186.0,89.0,-31.0,-35.0
Robertson,2,70,181,184.0,75.0,5.0,3.0
Mahrez,3,85,175,181.0,90.0,5.0,6.0
Rashford,3,95,177,177.0,83.0,-12.0,0.0
Firmino,4,95,155,176.0,85.0,-10.0,21.0
Grealish,3,70,149,169.0,80.0,10.0,20.0
Jesus,4,95,146,160.0,93.0,-2.0,14.0
Azpilicueta,2,60,130,157.0,68.0,8.0,27.0
van Dijk,2,65,178,156.0,65.0,-0.0,-22.0
Kane,4,105,158,155.0,84.0,-21.0,-3.0
Martial,4,90,200,154.0,85.0,-5.0,-46.0
Ward-Prowse,3,60,117,154.0,70.0,10.0,37.0
Maddison,3,70,125,153.0,81.0,11.0,28.0
Son,3,90,169,152.0,87.0,-3.0,-17.0
Digne,2,60,120,152.0,69.0,9.0,32.0
Richarlison,4,80,165,151.0,81.0,1.0,-14.0
Moutinho,3,55,113,148.0,68.0,13.0,35.0
Bernardo Silva,3,75,116,146.0,80.0,5.0,30.0
Mount,3,70,137,144.0,74.0,4.0,7.0
Tarkowski,2,55,143,138.0,58.0,3.0,-5.0
Ryan,1,45,135,137.0,56.0,11.0,2.0
Dunk,2,50,128,137.0,59.0,9.0,9.0
Evans,2,55,128,137.0,52.0,-3.0,9.0
Pope,1,55,170,136.0,54.0,-1.0,-34.0
Traoré,3,65,130,136.0,76.0,11.0,6.0
McNeil,3,60,123,135.0,63.0,3.0,12.0
Agüero,4,105,132,134.0,82.0,-23.0,2.0
Abraham,4,75,153,133.0,80.0,5.0,-20.0
Maguire,2,55,123,133.0,55.0,-0.0,10.0
Stevens,2,55,142,132.0,57.0,2.0,-10.0
Aurier,2,55,124,131.0,61.0,6.0,7.0
Tielemans,3,65,117,131.0,66.0,1.0,14.0
Wan-Bissaka,2,55,127,130.0,61.0,6.0,3.0
Söyüncü,2,55,120,130.0,56.0,1.0,10.0
Doherty,2,60,167,128.0,66.0,6.0,-39.0
Dubravka,1,50,143,127.0,48.0,-2.0,-16.0
Rice,3,50,105,125.0,57.0,7.0,20.0
Norwood,3,50,98,125.0,59.0,9.0,27.0
Westwood,3,55,118,125.0,59.0,4.0,7.0
Ramsdale,1,50,126,122.0,46.0,-4.0,-4.0
Maupay,4,65,131,122.0,73.0,8.0,-9.0
Schmeichel,1,55,156,121.0,47.0,-8.0,-35.0
Baldock,2,55,142,120.0,52.0,-3.0,-22.0
Ayew,4,60,132,120.0,66.0,6.0,-12.0
Pereira,2,60,123,120.0,59.0,-1.0,-3.0
Egan,2,50,133,119.0,57.0,7.0,-14.0
Basham,2,50,123,118.0,50.0,-0.0,-5.0
Calvert-Lewin,4,70,126,117.0,70.0,0.0,-9.0
Pulisic,3,85,127,116.0,75.0,-10.0,-11.0
Lundstram,3,55,144,115.0,66.0,11.0,-29.0
Henderson,1,55,160,114.0,44.0,-11.0,-46.0
Henderson,3,55,116,114.0,64.0,9.0,-2.0
Rodrigo,3,55,92,114.0,61.0,6.0,22.0
Alderweireld,2,55,97,114.0,52.0,-3.0,17.0
Patrício,1,55,153,113.0,43.0,-12.0,-40.0
Zaha,3,70,120,113.0,63.0,-7.0,-7.0
Fleck,3,60,101,112.0,63.0,3.0,11.0
Barnes,3,70,133,112.0,72.0,2.0,-21.0
van Aanholt,2,55,109,111.0,56.0,1.0,2.0
Redmond,3,65,107,111.0,62.0,-3.0,4.0
Guaita,1,50,137,110.0,43.0,-7.0,-27.0
Walker,2,60,114,110.0,56.0,-4.0,-4.0
Wood,4,65,136,110.0,70.0,5.0,-26.0
Jorginho,3,50,92,110.0,61.0,11.0,18.0
Lacazette,4,85,118,109.0,72.0,-13.0,-9.0
Jonny,2,55,123,109.0,52.0,-3.0,-14.0
Mee,2,50,110,109.0,52.0,2.0,-1.0
Coady,2,50,118,109.0,44.0,-6.0,-9.0
Jota,3,65,105,109.0,68.0,3.0,4.0
Noble,3,50,105,109.0,59.0,9.0,4.0
O'Connell,2,50,111,108.0,51.0,1.0,-3.0
Pérez,3,65,129,108.0,69.0,4.0,-21.0
Chilwell,2,55,114,108.0,57.0,2.0,-6.0
Neves,3,55,97,107.0,55.0,-0.0,10.0
Shelvey,3,55,105,107.0,64.0,9.0,2.0
Pickford,1,50,117,106.0,41.0,-9.0,-11.0
Sigurdsson,3,70,95,106.0,62.0,-8.0,11.0
Wijnaldum,3,55,107,106.0,55.0,-0.0,-1.0
Lindelöf,2,50,116,106.0,46.0,-4.0,-10.0
Webster,2,45,88,105.0,53.0,8.0,17.0
Ederson,1,60,133,105.0,43.0,-17.0,-28.0
Saïss,2,50,103,104.0,52.0,2.0,1.0
Leno,1,50,114,104.0,49.0,-1.0,-10.0
de Gea,1,55,143,104.0,40.0,-15.0,-39.0
Mings,2,50,90,103.0,49.0,-1.0,13.0
Fernández,2,50,102,103.0,51.0,1.0,1.0
Pépé,3,80,106,103.0,67.0,-13.0,-3.0
McArthur,3,55,92,102.0,54.0,-1.0,10.0
Haller,4,65,102,102.0,67.0,2.0,0.0
Aké,2,55,79,102.0,55.0,0.0,23.0
Kovacic,3,55,68,102.0,59.0,4.0,34.0
Antonio,4,65,111,101.0,78.0,13.0,-10.0
Bednarek,2,45,84,99.0,47.0,2.0,15.0
Almirón,3,60,109,99.0,57.0,-3.0,-10.0
Højbjerg,3,50,75,97.0,56.0,6.0,22.0
Pröpper,3,50,78,97.0,54.0,4.0,19.0
David Luiz,2,55,94,97.0,49.0,-6.0,3.0
Burn,2,45,86,97.0,48.0,3.0,11.0
Lucas Moura,3,70,100,96.0,64.0,-6.0,-4.0
Greenwood,3,75,103,96.0,70.0,-5.0,-7.0
Keane,2,50,90,95.0,50.0,0.0,5.0
Gündogan,3,55,65,95.0,61.0,6.0,30.0
Bertrand,2,50,75,95.0,51.0,1.0,20.0
Trossard,3,60,104,95.0,63.0,3.0,-9.0
Groß,3,60,76,94.0,65.0,5.0,18.0
Ndidi,3,50,85,94.0,54.0,4.0,9.0
Fernandes,3,105,117,94.0,76.0,-29.0,-23.0
Cresswell,2,50,79,94.0,51.0,1.0,15.0
Alonso,2,60,100,94.0,63.0,3.0,-6.0
Alli,3,80,117,93.0,64.0,-16.0,-24.0
Douglas Luiz,3,50,90,93.0,55.0,5.0,3.0
Targett,2,45,80,93.0,53.0,8.0,13.0
Alisson,1,60,122,91.0,45.0,-15.0,-31.0
McCarthy,1,45,104,89.0,50.0,5.0,-15.0
Dendoncker,3,50,100,88.0,51.0,1.0,-12.0
Fred,3,55,50,88.0,58.0,3.0,38.0
McGinn,3,55,84,88.0,58.0,3.0,4.0
Mina,2,55,78,88.0,52.0,-3.0,10.0
James,3,65,95,87.0,59.0,-6.0,-8.0
Milivojevic,3,60,81,87.0,54.0,-6.0,6.0
Mooy,3,50,80,87.0,59.0,9.0,7.0
Saint-Maximin,3,55,92,87.0,69.0,14.0,-5.0
Ogbonna,2,50,81,86.0,44.0,-6.0,5.0
Boly,2,55,97,86.0,52.0,-3.0,-11.0
McBurnie,4,60,86,86.0,63.0,3.0,-0.0
Fredericks,2,45,74,85.0,51.0,6.0,11.0
Hourihane,3,60,83,84.0,63.0,3.0,1.0
Stephens,2,50,85,84.0,47.0,-3.0,-1.0
El Ghazi,3,60,93,84.0,61.0,1.0,-9.0
Xhaka,3,55,73,83.0,51.0,-4.0,10.0
Snodgrass,3,60,87,83.0,63.0,3.0,-4.0
Diop,2,45,76,83.0,46.0,1.0,7.0
Stephens,3,45,63,82.0,56.0,11.0,19.0
Rodriguez,4,60,100,82.0,63.0,3.0,-18.0
Arrizabalaga,1,50,90,82.0,39.0,-11.0,-8.0
Fabinho,3,55,77,82.0,54.0,-1.0,5.0
Fornals,3,65,93,81.0,55.0,-10.0,-12.0
Trézéguet,3,55,98,81.0,61.0,6.0,-17.0
Harry Wilson,3,55,91,80.0,61.0,6.0,-11.0
Sánchez,2,55,64,80.0,47.0,-8.0,16.0
Zouma,2,50,62,80.0,47.0,-3.0,18.0
Fernandinho,2,55,55,80.0,48.0,-7.0,25.0
Gomez,2,55,93,79.0,49.0,-6.0,-14.0
James,2,50,61,79.0,57.0,7.0,18.0
Cahill,2,45,70,79.0,49.0,4.0,9.0
Otamendi,2,50,82,79.0,53.0,3.0,-3.0
Shaw,2,50,67,78.0,53.0,3.0,11.0
Sissoko,3,50,69,78.0,50.0,0.0,9.0
Holgate,2,50,71,78.0,49.0,-1.0,7.0
Felipe Anderson,3,65,66,77.0,61.0,-4.0,11.0
Mendy,2,60,74,76.0,55.0,-5.0,2.0
Joelinton,4,60,78,76.0,55.0,-5.0,-2.0
Armstrong,3,55,98,76.0,59.0,4.0,-22.0
Lloris,1,55,98,74.0,47.0,-8.0,-24.0
Winks,3,55,52,74.0,51.0,-4.0,22.0
McTominay,3,50,74,73.0,56.0,6.0,-1.0
Ward,2,45,77,73.0,44.0,-1.0,-4.0
Kanté,3,50,57,73.0,58.0,8.0,16.0
Fabianski,1,50,83,71.0,43.0,-7.0,-12.0
Taylor,2,45,84,71.0,50.0,5.0,-13.0
Giroud,4,70,68,71.0,67.0,-3.0,3.0
Ritchie,3,50,74,71.0,60.0,10.0,-3.0
Foden,3,65,69,71.0,65.0,0.0,2.0
Pieters,2,45,77,70.0,50.0,5.0,-7.0
Guilbert,2,45,62,69.0,48.0,3.0,7.0
Chamberlain,3,65,76,69.0,58.0,-7.0,-7.0
Rüdiger,2,50,63,69.0,50.0,0.0,6.0
Bardsley,2,45,78,69.0,48.0,3.0,-9.0
Hayden,3,50,73,68.0,49.0,-1.0,-5.0
Montoya,2,45,62,68.0,50.0,5.0,6.0
Konsa,2,45,65,67.0,47.0,2.0,2.0
Özil,3,70,53,66.0,58.0,-12.0,13.0
Mousset,4,60,84,66.0,64.0,4.0,-18.0
Iheanacho,4,60,64,65.0,66.0,6.0,1.0
Lascelles,2,45,73,65.0,45.0,0.0,-8.0
McGoldrick,4,55,65,65.0,59.0,4.0,0.0
Oriol Romeu,3,45,51,64.0,52.0,7.0,13.0
Lo Celso,3,70,54,64.0,57.0,-13.0,10.0
Coleman,2,50,55,64.0,48.0,-2.0,9.0
Cork,3,50,70,64.0,46.0,-4.0,-6.0
Adams,4,60,78,64.0,64.0,4.0,-14.0
Zinchenko,2,55,49,63.0,53.0,-2.0,14.0
Saka,3,55,71,63.0,55.0,0.0,-8.0
Kouyaté,3,50,85,63.0,47.0,-3.0,-22.0
Matic,3,50,55,62.0,53.0,3.0,7.0
Cancelo,2,55,45,62.0,54.0,-1.0,17.0
Lanzini,3,65,50,62.0,57.0,-8.0,12.0
Kolasinac,2,50,55,62.0,47.0,-3.0,7.0
Iwobi,3,60,52,61.0,55.0,-5.0,9.0
Cédric,2,50,61,61.0,50.0,-0.0,-0.0
Yarmolenko,3,60,70,61.0,60.0,-0.0,-9.0
Bernard,3,60,72,61.0,58.0,-2.0,-11.0
Christensen,2,50,34,61.0,47.0,-3.0,27.0
Schär,2,50,55,61.0,49.0,-1.0,6.0
Heaton,1,45,59,61.0,43.0,-2.0,2.0
Guendouzi,3,50,48,60.0,52.0,2.0,12.0
Sokratis,2,50,57,59.0,48.0,-2.0,2.0
Barkley,3,60,61,59.0,60.0,-0.0,-2.0
Pogba,3,80,51,58.0,58.0,-22.0,7.0
Pereira,3,50,60,58.0,56.0,6.0,-2.0
Wesley,4,60,67,58.0,57.0,-3.0,-9.0
Vestergaard,2,45,51,58.0,50.0,5.0,7.0
Torreira,3,50,46,57.0,53.0,3.0,11.0
Walcott,3,60,63,57.0,58.0,-2.0,-6.0
Lamela,3,60,65,57.0,57.0,-3.0,-8.0
Hudson-Odoi,3,60,53,56.0,60.0,0.0,3.0
Rose,2,50,47,56.0,46.0,-4.0,9.0
Benteke,4,55,42,54.0,61.0,6.0,12.0
Laporte,2,60,63,54.0,52.0,-8.0,-9.0
Origi,4,55,65,54.0,62.0,7.0,-11.0
Long,4,55,62,53.0,59.0,4.0,-9.0
Nakamba,3,45,43,53.0,48.0,3.0,10.0
Gazzaniga,1,45,58,53.0,43.0,-2.0,-5.0
Keita,3,55,52,53.0,59.0,4.0,1.0
Kelly,2,45,64,52.0,46.0,1.0,-12.0
Lowton,2,45,48,52.0,47.0,2.0,4.0
Davies,3,55,59,52.0,47.0,-8.0,-7.0
Tomori,2,50,48,52.0,49.0,-1.0,4.0
Townsend,3,60,48,51.0,53.0,-7.0,3.0
Tomkins,2,45,48,51.0,46.0,1.0,3.0
Ndombele,3,60,45,51.0,55.0,-5.0,6.0
El Mohamady,2,45,39,51.0,52.0,7.0,12.0
Manquillo,2,45,65,51.0,45.0,0.0,-14.0
Hendrick,3,50,67,50.0,49.0,-1.0,-17.0
Neto,3,55,57,50.0,57.0,2.0,-7.0
Bowen,3,65,44,49.0,58.0,-7.0,5.0
Gayle,4,60,58,49.0,60.0,0.0,-9.0
Maitland-Niles,2,50,41,49.0,48.0,-2.0,8.0
Dann,2,45,51,49.0,48.0,3.0,-2.0
McCarthy,3,45,41,48.0,50.0,5.0,7.0
Engels,2,45,42,48.0,46.0,1.0,6.0
Mustafi,2,50,43,48.0,49.0,-1.0,5.0
Williams,2,45,51,47.0,52.0,7.0,-4.0
Barnes,4,60,61,47.0,57.0,-3.0,-14.0
Praet,3,55,54,47.0,53.0,-2.0,-7.0
Davies,2,50,41,46.0,47.0,-3.0,5.0
Hause,2,45,34,46.0,46.0,1.0,12.0
Sharp,4,60,57,46.0,58.0,-2.0,-11.0
Emerson,2,50,19,46.0,53.0,3.0,27.0
Connolly,4,55,61,45.0,57.0,2.0,-16.0
Alzate,3,45,33,45.0,53.0,8.0,12.0
Albrighton,3,55,38,45.0,56.0,1.0,7.0
Chambers,2,45,42,45.0,50.0,5.0,3.0
Sean Longstaff,3,50,44,44.0,51.0,1.0,0.0
Gray,3,55,44,44.0,58.0,3.0,-0.0
Duffy,2,45,44,44.0,47.0,2.0,-0.0
Milner,3,55,49,44.0,54.0,-1.0,-5.0
Clark,2,45,49,44.0,48.0,3.0,-5.0
Dummett,2,45,44,43.0,47.0,2.0,-1.0
Bissouma,3,45,39,43.0,51.0,6.0,4.0
Kean,4,60,53,43.0,59.0,-1.0,-10.0
Tierney,2,55,42,42.0,52.0,-3.0,-0.0
Balbuena,2,45,40,42.0,47.0,2.0,2.0
Stones,2,50,34,42.0,47.0,-3.0,8.0
Obafemi,4,50,45,42.0,61.0,11.0,-3.0
Justin,2,45,35,42.0,51.0,6.0,7.0
Djenepo,3,55,40,41.0,55.0,-0.0,1.0
Soucek,3,50,41,41.0,57.0,7.0,0.0
Schlupp,3,55,51,40.0,53.0,-2.0,-11.0
Delph,3,50,24,40.0,50.0,-0.0,16.0
March,3,50,38,40.0,53.0,3.0,2.0
Willock,3,50,41,39.0,54.0,4.0,-2.0
Bellerín,2,50,44,39.0,47.0,-3.0,-5.0
Mata,3,60,38,37.0,54.0,-6.0,-1.0
Dier,2,50,36,37.0,45.0,-5.0,1.0
André Gomes,3,55,39,37.0,47.0,-8.0,-2.0
Walker-Peters,2,45,32,37.0,50.0,5.0,5.0
Masuaku,2,45,26,36.0,49.0,4.0,10.0
Bergwijn,3,75,43,36.0,55.0,-20.0,-7.0
Vydra,4,50,39,35.0,57.0,7.0,-4.0
Lingard,3,60,32,35.0,53.0,-7.0,3.0
Boufal,3,55,34,34.0,54.0,-1.0,-0.0
Garcia,2,50,38,34.0,48.0,-2.0,-4.0
Krafth,2,45,37,34.0,46.0,1.0,-3.0
Choudhury,3,50,35,33.0,51.0,1.0,-2.0
Martinelli,3,50,39,32.0,53.0,3.0,-7.0
Berge,3,50,40,31.0,50.0,0.0,-9.0
Matip,2,55,39,31.0,48.0,-7.0,-8.0
Bennett,2,45,32,31.0,46.0,1.0,-1.0
Taylor,2,45,22,30.0,45.0,-0.0,8.0
Carroll,4,55,34,30.0,58.0,3.0,-4.0
Martínez,1,45,33,30.0,45.0,0.0,-3.0
Nelson,3,55,30,30.0,53.0,-2.0,-0.0
Gudmundsson,3,55,30,29.0,53.0,-2.0,-1.0
Gunn,1,45,29,28.0,42.0,-3.0,-1.0
Brady,3,50,32,28.0,54.0,4.0,-4.0
Vinagre,2,45,32,27.0,54.0,9.0,-5.0
Atsu,3,55,37,27.0,51.0,-4.0,-10.0
Fuchs,2,45,26,26.0,46.0,1.0,-0.0
Bernardo,2,40,21,26.0,51.0,11.0,5.0
Tosun,4,60,24,26.0,57.0,-3.0,2.0
Yedlin,2,45,26,26.0,46.0,1.0,0.0
Sakho,2,45,11,26.0,44.0,-1.0,15.0
Lamptey,2,45,26,25.0,48.0,3.0,-1.0
Samatta,4,60,29,25.0,54.0,-6.0,-4.0
Murray,4,50,36,25.0,55.0,5.0,-11.0
Roberto,1,45,18,24.0,43.0,-2.0,6.0
Riedewald,3,45,22,24.0,49.0,4.0,2.0
Nketiah,4,60,25,24.0,55.0,-5.0,-1.0
Lallana,3,65,27,23.0,54.0,-11.0,-4.0
Brownhill,3,50,21,23.0,49.0,-1.0,2.0
Matty Longstaff,3,50,27,22.0,50.0,0.0,-5.0
Jahanbakhsh,3,55,28,22.0,53.0,-2.0,-6.0
Callum Robinson,4,55,33,22.0,53.0,-2.0,-11.0
Batshuayi,4,60,28,21.0,57.0,-3.0,-7.0
Podence,3,55,25,21.0,53.0,-2.0,-4.0
Osborn,3,50,19,21.0,50.0,0.0,2.0
Adrián,1,45,27,21.0,40.0,-5.0,-6.0
Valery,2,50,18,20.0,45.0,-5.0,2.0
Lejeune,2,45,24,19.0,48.0,3.0,-5.0
Tanganga,2,50,17,19.0,47.0,-3.0,2.0
Smallbone,3,45,24,19.0,51.0,6.0,-5.0
Holding,2,45,16,18.0,46.0,1.0,2.0
Meyer,3,50,23,18.0,49.0,-1.0,-5.0
Thomas,2,45,15,17.0,49.0,4.0,2.0
Morgan,2,45,19,17.0,47.0,2.0,-2.0
Davis,4,45,25,17.0,60.0,15.0,-8.0
Gordon,3,45,17,17.0,51.0,6.0,0.0
Long,2,45,21,17.0,45.0,0.0,-4.0
Wickham,4,45,15,16.0,59.0,14.0,1.0
Jack Robinson,2,45,14,16.0,46.0,1.0,2.0
Williams,2,40,14,14.0,50.0,10.0,-0.0
Jota,3,60,17,14.0,51.0,-9.0,-3.0
Martin,1,40,20,14.0,44.0,4.0,-6.0
Nyland,1,40,15,14.0,47.0,7.0,-1.0
Shaqiri,3,65,15,14.0,52.0,-13.0,-1.0
Jones,3,45,13,13.0,52.0,7.0,-0.0
Freeman,3,50,13,12.0,50.0,-0.0,-1.0
Branthwaite,2,40,11,12.0,49.0,9.0,1.0
Ighalo,4,65,11,12.0,56.0,-9.0,1.0
Mac Allister,3,55,12,12.0,50.0,-5.0,-0.0
Caballero,1,50,13,11.0,41.0,-9.0,-2.0
Gilmour,3,45,9,11.0,51.0,6.0,2.0
Gibbs-White,3,50,11,10.0,51.0,1.0,-1.0
Bravo,1,45,11,10.0,42.0,-3.0,-1.0
Loftus-Cheek,3,60,12,10.0,50.0,-10.0,-2.0
Hennessey,1,45,7,10.0,43.0,-2.0,3.0
Muto,4,50,9,9.0,53.0,3.0,-0.0
Sessegnon,2,50,9,9.0,46.0,-4.0,0.0
Lansbury,3,45,12,9.0,50.0,5.0,-3.0
Andone,4,50,5,9.0,55.0,5.0,4.0
Minamino,3,65,11,8.0,50.0,-15.0,-3.0
Ajeti,4,55,9,8.0,54.0,-1.0,-1.0
Bailly,2,50,9,7.0,46.0,-4.0,-2.0
Fernandes,3,50,7,7.0,51.0,1.0,0.0
Marí,2,45,8,6.0,46.0,1.0,-2.0
Mitchell,2,40,4,6.0,47.0,7.0,2.0
Johnson,2,40,6,6.0,46.0,6.0,0.0
Skipp,3,45,7,6.0,50.0,5.0,-1.0
Bamford,4,55,0,5.0,57.0,2.0,5.0
Zohore,4,50,0,5.0,54.0,4.0,5.0
Jones,2,50,2,5.0,46.0,-4.0,3.0
Kilman,2,40,5,5.0,46.0,6.0,-0.0
Tuanzebe,2,45,7,5.0,46.0,1.0,-2.0
Vassilev,4,45,4,5.0,54.0,9.0,1.0
Fosu-Mensah,2,45,7,5.0,46.0,1.0,-2.0
Jordao,3,45,1,4.0,50.0,5.0,3.0
Austin,4,55,0,4.0,54.0,-1.0,4.0
Hugill,4,55,0,4.0,54.0,-1.0,4.0
Randolph,1,45,3,4.0,42.0,-3.0,1.0
Bonatini,4,50,0,4.0,54.0,4.0,4.0
Campana,4,50,0,4.0,54.0,4.0,4.0
Pierrick,3,45,2,4.0,50.0,5.0,2.0
Brewster,4,45,0,4.0,55.0,10.0,4.0
Decordova-Reid,4,55,0,4.0,54.0,-1.0,4.0
Gbamin,3,50,4,4.0,49.0,-1.0,0.0
Mitrović,4,60,0,4.0,66.0,6.0,4.0
Smith Rowe,3,45,4,4.0,50.0,5.0,0.0
Costa,3,55,0,3.0,50.0,-5.0,3.0
James,3,45,1,3.0,50.0,5.0,2.0
Wilshere,3,50,8,3.0,49.0,-1.0,-5.0
Robson-Kanu,4,55,0,3.0,54.0,-1.0,3.0
Werner,4,95,0,3.0,71.0,-24.0,3.0
Elliott,3,45,2,3.0,50.0,5.0,1.0
Pereira,3,60,0,3.0,52.0,-8.0,3.0
Doyle,3,45,1,3.0,50.0,5.0,2.0
Sawyers,3,50,0,3.0,50.0,-0.0,3.0
Foyth,2,45,3,3.0,46.0,1.0,-0.0
Moore,1,45,3,3.0,42.0,-3.0,-0.0
Phillips,3,50,0,3.0,50.0,0.0,3.0
Chong,3,45,3,3.0,50.0,5.0,0.0
Garner,3,45,1,3.0,50.0,5.0,2.0
Silva,3,45,0,2.0,50.0,5.0,2.0
Harper,3,45,0,2.0,50.0,5.0,2.0
Klich,3,55,0,2.0,50.0,-5.0,2.0
Diangana,3,55,0,2.0,50.0,-5.0,2.0
Livermore,3,50,0,2.0,50.0,-0.0,2.0
McDonald,3,50,0,2.0,50.0,-0.0,2.0
Burke,3,45,0,2.0,50.0,5.0,2.0
Grosicki,3,55,0,2.0,50.0,-5.0,2.0
Phillips,3,55,0,2.0,50.0,-5.0,2.0
Field,3,50,0,2.0,50.0,-0.0,2.0
Knockaert,3,55,0,2.0,50.0,-5.0,2.0
Edwards,3,50,0,2.0,50.0,-0.0,2.0
Johansen,3,50,0,2.0,50.0,-0.0,2.0
Cairney,3,55,0,2.0,50.0,-5.0,2.0
Forshaw,3,50,0,2.0,50.0,-0.0,2.0
Hernández,3,60,0,2.0,51.0,-9.0,2.0
Ziyech,3,80,0,2.0,56.0,-24.0,2.0
Harrison,3,55,0,2.0,50.0,-5.0,2.0
Dalot,2,50,4,2.0,46.0,-4.0,-2.0
Reed,3,45,0,2.0,50.0,5.0,2.0
Sims,3,45,0,2.0,50.0,5.0,2.0
Rojo,2,50,3,2.0,45.0,-5.0,-1.0
Kebano,3,50,0,2.0,50.0,0.0,2.0
Torres,3,70,0,2.0,50.0,-20.0,2.0
Vokins,2,40,2,2.0,46.0,6.0,0.0
Cavaleiro,3,55,0,2.0,50.0,-5.0,2.0
Onomah,3,50,0,2.0,50.0,-0.0,2.0
Izquierdo,3,55,0,2.0,49.0,-6.0,2.0
Seri,3,50,0,2.0,50.0,-0.0,2.0
Stevens,3,45,0,2.0,51.0,6.0,2.0
Kamara,3,50,0,2.0,50.0,0.0,2.0
Shackleton,3,50,0,2.0,50.0,-0.0,2.0
Poveda-Ocampo,3,45,0,2.0,50.0,5.0,2.0
Anguissa,3,45,0,2.0,50.0,5.0,2.0
Grot,3,50,0,2.0,50.0,-0.0,2.0
Roberts,3,50,0,2.0,50.0,-0.0,2.0
Leko,3,45,0,2.0,50.0,5.0,2.0
Christie,2,45,0,1.0,46.0,1.0,1.0
Tsimikas,2,50,0,1.0,46.0,-4.0,1.0
Le Marchand,2,45,0,1.0,46.0,1.0,1.0
Bartley,2,45,0,1.0,46.0,1.0,1.0
Gibbs,2,45,0,1.0,46.0,1.0,1.0
Watts,2,40,1,1.0,47.0,7.0,-0.0
Mengi,2,40,0,1.0,46.0,6.0,1.0
Smalling,2,50,0,1.0,46.0,-4.0,1.0
Bree,2,45,0,1.0,46.0,1.0,1.0
Douglas,2,40,0,1.0,51.0,11.0,1.0
Amartey,2,40,0,1.0,46.0,6.0,1.0
Aarons,3,50,0,1.0,50.0,-0.0,1.0
Gibson,2,40,0,1.0,46.0,6.0,1.0
Ream,2,45,0,-0.0,46.0,1.0,-0.0
Buur,2,40,0,0.0,46.0,6.0,0.0
Veltman,2,45,0,0.0,46.0,1.0,0.0
Hector,2,45,0,0.0,46.0,1.0,0.0
Clarke,2,45,0,0.0,46.0,1.0,0.0
White,2,45,0,-0.0,47.0,2.0,-0.0
Ferguson,2,40,0,0.0,51.0,11.0,0.0
Bryan,2,50,0,-0.0,47.0,-3.0,-0.0
Kenny,2,45,0,0.0,46.0,1.0,0.0
Saliba,2,45,0,0.0,48.0,3.0,0.0
Ajayi,2,50,0,0.0,46.0,-4.0,0.0
Cooper,2,45,0,0.0,46.0,1.0,0.0
Hegazi,2,45,0,0.0,47.0,2.0,0.0
Dallas,2,45,0,-0.0,48.0,3.0,-0.0
Ayling,2,45,0,-0.0,48.0,3.0,-0.0
Mawson,2,45,0,0.0,46.0,1.0,0.0
Struijk,2,40,0,0.0,47.0,7.0,0.0
Benkovic,2,45,0,0.0,46.0,1.0,0.0
Davis,2,40,0,0.0,47.0,7.0,0.0
Casey,2,40,0,-0.0,46.0,6.0,-0.0
Salisu,2,45,0,-0.0,46.0,1.0,-0.0
Alioski,2,45,0,0.0,47.0,2.0,0.0
Townsend,2,45,0,0.0,46.0,1.0,0.0
Furlong,2,45,0,0.0,46.0,1.0,0.0
O'Shea,2,45,0,0.0,46.0,1.0,0.0
Robinson,2,45,0,0.0,46.0,1.0,0.0
Sessegnon,2,45,0,0.0,46.0,1.0,0.0
Miazek,1,40,0,-1.0,44.0,4.0,-1.0
Romero,1,50,0,-1.0,42.0,-8.0,-1.0
Steer,1,40,1,-1.0,43.0,3.0,-2.0
Meslier,1,45,0,-1.0,43.0,-2.0,-1.0
Gillespie,1,45,0,-1.0,42.0,-3.0,-1.0
Button,1,40,0,-1.0,44.0,4.0,-1.0
Bettinelli,1,45,0,-1.0,42.0,-3.0,-1.0
Peacock-Farrell,1,40,0,-1.0,43.0,3.0,-1.0
Lössl,1,45,0,-1.0,43.0,-2.0,-1.0
Virgínia,1,45,0,-1.0,42.0,-3.0,-1.0
Fabri,1,40,0,-1.0,43.0,3.0,-1.0
Ruddy,1,45,0,-1.0,42.0,-3.0,-1.0
Hart,1,45,0,-1.0,43.0,-2.0,-1.0
Rodák,1,45,0,-1.0,43.0,-2.0,-1.0
Foderingham,1,45,0,-1.0,43.0,-2.0,-1.0
Casilla,1,45,0,-2.0,43.0,-2.0,-2.0
Ward,1,45,0,-2.0,42.0,-3.0,-2.0
Sarkic,1,45,0,-2.0,42.0,-3.0,-2.0
Johnstone,1,45,0,-2.0,43.0,-2.0,-2.0
Darlow,1,50,0,-2.0,42.0,-8.0,-2.0
